Kraj wydaj鉍y dokument;kosy ISO Alfa 3166;Razem;wy逝dzenie - rodzaj fa連zerstwa;podrobienie - rodzaj fa連zerstwa;przerobienie - rodzaj fa連zerstwa;cudzy oryginalny - rodzaj fa連zerstwa;wype軟ienie - rodzaj fa連zerstwa;wiza - rodzaj dokumentu;stempel* - rodzaj dokumentu;dow鏚 osobisty - rodzaj dokumentu;dokument pobytowy - rodzaj dokumentu;paszport - rodzaj dokumentu;karta mrg - rodzaj dokumentu;inne - rodzaj dokumentu
Polska;POL;1 245;1 135;73;26;11;;1 137;46;14;10;5;;33
Francja;FRA;47;15;19;7;6;;28;3;3;9;4;;
Grecja;GRC;45;1;14;22;5;3;1;5;24;13;2;;
W這chy;ITA;44;6;29;7;1;1;13;6;18;6;1;;
Litwa;LTU;33;;27;5;1;;2;22;6;;3;;
Rumunia;ROU;30;;27;3;;;;;26;;3;;1
Hiszpania;ESP;24;2;14;2;6;;4;8;6;4;2;;
Bu貪aria;BGR;23;;6;4;13;;;3;16;;4;;
W璕ry;HUN;19;5;12;1;1;;1;10;3;;5;;
S這wacja;SVK;19;;19;;;;;18;1;;;;
Czechy;CZE;19;2;12;1;4;;2;8;5;;4;;
Niemcy;DEU;18;1;11;4;1;1;5;5;;8;;;
Niderlandy;NLD;10;6;3;;1;;7;1;;1;1;;
υtwa;LVA;10;1;6;3;;;1;5;2;;2;;
Portugalia;PRT;8;;7;;1;;;;5;1;2;;
Belgia;BEL;8;;7;1;;;;1;3;4;;;
Dania;DNK;8;;8;;;;;2;;3;3;;
Wietnam;VNM;7;;;;7;;;;;;7;;
Kanada;CAN;7;;6;;1;;6;;;;1;;
Turcja;TUR;6;;2;3;1;;1;;;;5;;
Austria;AUT;6;;4;2;;;;1;;3;2;;
Indie;IND;5;;3;1;1;;;;;;5;;
Norwegia;NOR;4;;2;;2;;1;;;2;1;;
Izrael;ISR;4;;4;;;;1;;;;3;;
Cypr;CYP;4;;3;1;;;;2;;2;;;
Nieustalono;UNK;4;4;;;;;4;;;;;;
Szwecja;SWE;3;;1;1;1;;;;;2;1;;
Ukraina;UKR;3;2;;1;;;2;;;;1;;
Wielka Brytania;GBR;3;;1;1;1;;1;;;;2;;
Finlandia;FIN;3;;3;;;;1;2;;;;;
Estonia;EST;3;;3;;;;;3;;;;;
Tajwan;TWN;2;;2;;;;;;;;2;;
Syria;SYR;2;;1;1;;;;;;;2;;
Chorwacja;HRV;2;;2;;;;;;1;;1;;
Pakistan;PAK;2;;;2;;;;;;;2;;
Stany Zjednoczone;USA;2;;1;1;;;;;;;2;;
Szwajcaria;CHE;2;1;;1;;;2;;;;;;
S這wenia;SVN;2;;2;;;;;2;;;;;
Korea Po逝dniowa;KOR;2;;1;;1;;;;;;2;;
Gruzja;GEO;1;;;1;;;;;;;1;;
Etiopia;ETH;1;;;;1;;;;;;1;;
Armenia;ARM;1;;;;1;;;;;;1;;
Malta;MLT;1;1;;;;;1;;;;;;
Irlandia;IRL;1;;1;;;;;;;;1;;
Rosja;RUS;1;1;;;;;1;;;;;;
Luksemburg;LUX;1;;1;;;;;;;;1;;
Irak;IRQ;1;;;;;1;;;;;1;;
FAN**;FAN;1;;1;;;;;;1;;;;
;;;;;;;;;;;;;;
